Altium Designer Pick and Place Locations
C:\Users\jose_\Desktop\Projeto_prototipagem_mestrado\2ele275-cepm-24-projeto-jm-torres-main\Componentes\ESR03EZPJ103\Project Outputs for Comp_Bordo\Generates pick and place files\[No Variations].txt

========================================================================================================================
File Design Information:

Date:       19/12/24
Time:       14:15
Revision:   89971a435446efeb24de587a488078efdea8d700
Variant:    No variations
Units used: mil

Designator Comment         Layer       Footprint             Center-X(mil) Center-Y(mil) Rotation Description                                                                                                             
U1         MMA3201KEGR2    TopLayer    MMA3201KEG            4507.024      3766.000      0        "Accelerometer Dual ±40g 4.75V to 5.25V 47.5mV/g to 52.5mV/g 20-Pin SOIC T/R"                                           
U4         MPXH6115A6U     TopLayer    MPXH6115A6U           3998.586      3607.617      180      "SENSOR ABS PRESS 16.7PSI MAX"                                                                                          
C24        "0.47 uF"       BottomLayer TMK107F474ZA-T        4652.000      3991.000      180      "Multilayer Ceramic Capacitors (High dielectric type), 25V, 0.47 uF, +80%, 0603, Y5V/F, RoHS"                           
C13        "0.47 uF"       TopLayer    TMK107F474ZA-T        4942.000      3994.000      0        "Multilayer Ceramic Capacitors (High dielectric type), 25V, 0.47 uF, +80%, 0603, Y5V/F, RoHS"                           
C6         "0.47 uF"       BottomLayer TMK107F474ZA-T        4083.000      3867.000      270      "Multilayer Ceramic Capacitors (High dielectric type), 25V, 0.47 uF, +80%, 0603, Y5V/F, RoHS"                           
C21        100uF           TopLayer    B45197A3107K509       5555.118      3539.370      180      "Cap 100UF 16VDC 10% 7.3 X 4.3 X 4.1MM SMD 7343-43 T/r"                                                                 
C8         1u              TopLayer    CC1206KKX7R7BB105     3972.000      3940.000      90       "Multilayer Ceramic Capacitor, 1 uF, 16 V, ï¿½ 10%, X7R, 1206 [3216 Metric]"                                            
U5         IRF7101TRPBF    BottomLayer IRF7101TRPBF          5426.180      3908.070      0        "IRF7101PBF Dual N-channel MOSFET Transistor; 3.5 A; 20 V; 8-Pin SOIC"                                                  
R21        100k            BottomLayer MCT0603PD1003DP500    4133.858      3514.764      90       "SMD Chip Resistor, 100 kOhm, ± 1%, 250 mW, 0603 [1608 Metric], Thick Film, Anti-Surge"                                 
R20        100k            TopLayer    MCT0603PD1003DP500    5757.000      3608.000      270      "SMD Chip Resistor, 100 kOhm, ± 1%, 250 mW, 0603 [1608 Metric], Thick Film, Anti-Surge"                                 
